商品,日期,今值,预测值,前值
中国M2货币供应年率报告,1998-02-01,17.4,,
中国M2货币供应年率报告,1998-03-01,16.7,,17.4
中国M2货币供应年率报告,1998-04-01,15.4,,16.7
中国M2货币供应年率报告,1998-05-01,14.6,,15.4
中国M2货币供应年率报告,1998-06-01,15.5,,14.6
中国M2货币供应年率报告,1998-07-01,14.6,,15.5
中国M2货币供应年率报告,1998-08-01,15.5,,14.6
中国M2货币供应年率报告,1998-09-01,15.0,,15.5
中国M2货币供应年率报告,1998-10-01,16.0,,15.0
中国M2货币供应年率报告,1998-11-01,16.3,,16.0
中国M2货币供应年率报告,1998-12-01,16.7,,16.3
中国M2货币供应年率报告,1999-01-01,14.8,,16.7
中国M2货币供应年率报告,1999-02-01,14.4,,14.8
中国M2货币供应年率报告,1999-03-01,17.1,,14.4
中国M2货币供应年率报告,1999-04-01,17.8,,17.1
中国M2货币供应年率报告,1999-05-01,17.9,,17.8
中国M2货币供应年率报告,1999-06-01,17.2,,17.9
中国M2货币供应年率报告,1999-07-01,17.7,,17.2
中国M2货币供应年率报告,1999-08-01,15.7,,17.7
中国M2货币供应年率报告,1999-09-01,16.0,,15.7
中国M2货币供应年率报告,1999-10-01,15.3,,16.0
中国M2货币供应年率报告,1999-11-01,14.5,,15.3
中国M2货币供应年率报告,1999-12-01,14.0,,14.5
中国M2货币供应年率报告,2000-01-01,14.7,,14.0
中国M2货币供应年率报告,2000-02-01,14.3,,14.7
中国M2货币供应年率报告,2000-03-01,13.5,,14.3
中国M2货币供应年率报告,2000-04-01,13.4,,13.5
中国M2货币供应年率报告,2000-05-01,14.5,,13.4
中国M2货币供应年率报告,2000-06-01,14.0,,14.5
中国M2货币供应年率报告,2000-07-01,14.4,,14.0
中国M2货币供应年率报告,2000-08-01,15.6,,14.4
中国M2货币供应年率报告,2000-09-01,14.8,,15.6
中国M2货币供应年率报告,2000-10-01,15.3,,14.8
中国M2货币供应年率报告,2000-11-01,14.2,,15.3
中国M2货币供应年率报告,2000-12-01,15.2,,14.2
中国M2货币供应年率报告,2001-01-01,14.0,,15.2
中国M2货币供应年率报告,2001-02-01,15.2,,14.0
中国M2货币供应年率报告,2001-03-01,15.2,,15.2
中国M2货币供应年率报告,2001-04-01,14.8,,15.2
中国M2货币供应年率报告,2001-05-01,13.9,,14.8
中国M2货币供应年率报告,2001-06-01,14.5,,13.9
中国M2货币供应年率报告,2001-07-01,14.3,,14.5
中国M2货币供应年率报告,2001-08-01,13.5,,14.3
中国M2货币供应年率报告,2001-09-01,13.6,,13.5
中国M2货币供应年率报告,2001-10-01,13.6,,13.6
中国M2货币供应年率报告,2001-11-01,12.9,,13.6
中国M2货币供应年率报告,2001-12-01,13.2,,12.9
中国M2货币供应年率报告,2002-01-01,14.4,,13.2
中国M2货币供应年率报告,2002-02-01,13.0,,14.4
中国M2货币供应年率报告,2002-03-01,13.0,,13.0
中国M2货币供应年率报告,2002-04-01,14.4,,13.0
中国M2货币供应年率报告,2002-05-01,14.1,,14.4
中国M2货币供应年率报告,2002-06-01,14.0,,14.1
中国M2货币供应年率报告,2002-07-01,14.7,,14.0
中国M2货币供应年率报告,2002-08-01,14.4,,14.7
中国M2货币供应年率报告,2002-09-01,15.5,,14.4
中国M2货币供应年率报告,2002-10-01,16.5,,15.5
中国M2货币供应年率报告,2002-11-01,17.0,,16.5
中国M2货币供应年率报告,2002-12-01,16.6,,17.0
中国M2货币供应年率报告,2003-01-01,16.8,,16.6
中国M2货币供应年率报告,2003-02-01,19.3,,16.8
中国M2货币供应年率报告,2003-03-01,18.1,,19.3
